,rescheduling-gauss-time-trained,converged_iterations,total_time
ft10_100_1,1067.0,10.0,0.7850973606109619
ft10_100_2,1090.0,10.0,0.8296165466308594
ft10_100_3,989.0,10.0,0.8128211498260498
ft10_25_1,986.0,10.0,0.8595755100250244
ft10_25_2,994.0,10.0,0.8122642040252686
ft10_25_3,1010.0,10.0,0.812549352645874
ft10_50_1,1093.0,10.0,0.8007247447967529
ft10_50_2,1024.0,10.0,0.7840735912322998
ft10_50_3,989.0,10.0,0.8588395118713379
ft10_75_1,991.0,10.0,0.8286561965942383
ft10_75_2,980.0,10.0,0.8595869541168213
ft10_75_3,997.0,10.0,0.7961456775665283
la26_100_1,1295.0,10.0,1.8130643367767334
la26_100_2,1283.0,10.0,1.952803134918213
la26_100_3,1269.0,10.0,1.8608758449554443
la26_25_1,1273.0,10.0,1.810605764389038
la26_25_2,1277.0,10.0,1.8750193119049072
la26_25_3,1265.0,10.0,1.8089711666107178
la26_50_1,1279.0,10.0,1.888305425643921
la26_50_2,1294.0,10.0,1.891057014465332
la26_50_3,1286.0,10.0,1.8124604225158691
la26_75_1,1368.0,10.0,1.8902089595794678
la26_75_2,1293.0,10.0,1.9057857990264893
la26_75_3,1280.0,10.0,1.8282172679901123
la31_100_1,1788.0,10.0,3.249769687652588
la31_100_2,1796.0,10.0,3.1415038108825684
la31_100_3,1805.0,10.0,3.1722617149353027
la31_25_1,1786.0,10.0,3.274613380432129
la31_25_2,1799.0,10.0,3.077974319458008
la31_25_3,1789.0,10.0,3.212019205093384
la31_50_1,1787.0,10.0,3.1524343490600586
la31_50_2,1781.0,10.0,3.214369535446167
la31_50_3,1782.0,10.0,3.221874237060547
la31_75_1,1789.0,10.0,3.1035690307617188
la31_75_2,1796.0,10.0,3.1626927852630615
la31_75_3,1807.0,10.0,3.062236785888672
ta21_100_1,1827.0,10.0,3.768932342529297
ta21_100_2,1883.0,10.0,3.834963798522949
ta21_100_3,1880.0,10.0,3.791078567504883
ta21_25_1,1830.0,10.0,3.749417304992676
ta21_25_2,1897.0,10.0,3.802769184112549
ta21_25_3,1951.0,10.0,3.913318157196045
ta21_50_1,1977.0,10.0,3.8711636066436768
ta21_50_2,1895.0,10.0,3.907363176345825
ta21_50_3,1994.0,10.0,3.8604462146759033
ta21_75_1,1872.0,10.0,3.890287160873413
ta21_75_2,1945.0,10.0,3.92189884185791
ta21_75_3,1930.0,10.0,3.843055009841919
ta41_100_1,2523.0,10.0,6.5943028926849365
ta41_100_2,2463.0,10.0,6.541435718536377
ta41_100_3,2492.0,10.0,6.544977426528931
ta41_25_1,2449.0,10.0,6.594022750854492
ta41_25_2,2466.0,10.0,6.437281131744385
ta41_25_3,2491.0,10.0,6.437828063964844
ta41_50_1,2382.0,10.0,6.5305259227752686
ta41_50_2,2540.0,10.0,6.609403371810913
ta41_50_3,2494.0,10.0,6.599869251251221
ta41_75_1,2428.0,10.0,6.497154951095581
ta41_75_2,2426.0,10.0,6.655777931213379
ta41_75_3,2473.0,10.0,6.60844087600708
