,rescheduling-normal-time-trained-2,converged_iterations,total_time
ft10_100_1,1087.0,10.0,0.8577065467834473
ft10_100_2,1046.0,10.0,0.772932767868042
ft10_100_3,1062.0,10.0,0.7948744297027588
ft10_25_1,986.0,10.0,0.8208057880401611
ft10_25_2,994.0,10.0,0.8178136348724365
ft10_25_3,1072.0,10.0,0.7809112071990967
ft10_50_1,1075.0,10.0,0.7749276161193848
ft10_50_2,1024.0,10.0,0.8437418937683105
ft10_50_3,989.0,10.0,0.8756587505340576
ft10_75_1,991.0,10.0,0.8028535842895508
ft10_75_2,980.0,10.0,0.818810224533081
ft10_75_3,1004.0,10.0,0.8228001594543457
la26_100_1,1326.0,10.0,1.9218571186065674
la26_100_2,1327.0,10.0,1.8869543075561523
la26_100_3,1329.0,10.0,1.85603666305542
la26_25_1,1271.0,10.0,1.8999195098876953
la26_25_2,1285.0,10.0,1.8161430358886719
la26_25_3,1291.0,10.0,1.8520472049713135
la26_50_1,1279.0,10.0,1.849055528640747
la26_50_2,1280.0,10.0,1.8540420532226562
la26_50_3,1295.0,10.0,1.8390822410583496
la26_75_1,1309.0,10.0,1.8794827461242676
la26_75_2,1318.0,10.0,1.8749866485595703
la26_75_3,1300.0,10.0,1.8929376602172852
la31_100_1,1788.0,10.0,3.3161325454711914
la31_100_2,1790.0,10.0,3.233354091644287
la31_100_3,1809.0,10.0,3.3440587520599365
la31_25_1,1786.0,10.0,3.3151347637176514
la31_25_2,1844.0,10.0,3.320122003555298
la31_25_3,1789.0,10.0,3.127635955810547
la31_50_1,1787.0,10.0,3.2562925815582275
la31_50_2,1789.0,10.0,3.2333548069000244
la31_50_3,1776.0,10.0,3.1485812664031982
la31_75_1,1805.0,10.0,3.1994452476501465
la31_75_2,1833.0,10.0,3.162543535232544
la31_75_3,1791.0,10.0,3.353034019470215
ta21_100_1,1827.0,10.0,3.862670660018921
ta21_100_2,1949.0,10.0,4.065129518508911
ta21_100_3,1849.0,10.0,3.9314873218536377
ta21_25_1,1830.0,10.0,3.901566743850708
ta21_25_2,1946.0,10.0,4.054666042327881
ta21_25_3,1917.0,10.0,4.00030255317688
ta21_50_1,1884.0,10.0,4.118985414505005
ta21_50_2,1897.0,10.0,3.9255032539367676
ta21_50_3,1922.0,10.0,3.9444539546966553
ta21_75_1,1931.0,10.0,3.7549595832824707
ta21_75_2,2013.0,10.0,3.8267664909362793
ta21_75_3,1919.0,10.0,3.9394655227661133
