,rescheduling-gauss-time-trained,converged_iterations,total_time
ft10_100_1,1053.0,10.0,0.8072834014892578
ft10_100_2,1071.0,10.0,0.7561535835266113
ft10_100_3,1027.0,10.0,0.7817177772521973
ft10_25_1,986.0,10.0,0.7968704700469971
ft10_25_2,994.0,10.0,0.83087158203125
ft10_25_3,1093.0,10.0,0.8382425308227539
ft10_50_1,1095.0,10.0,0.8120124340057373
ft10_50_2,1030.0,10.0,0.8121213912963867
ft10_50_3,989.0,10.0,0.7870068550109863
ft10_75_1,991.0,10.0,0.7970621585845947
ft10_75_2,980.0,10.0,0.8442316055297852
ft10_75_3,1004.0,10.0,0.8123993873596191
la26_100_1,1322.0,10.0,1.8875527381896973
la26_100_2,1269.0,10.0,1.8430945873260498
la26_100_3,1311.0,10.0,1.9067883491516113
la26_25_1,1265.0,10.0,1.8431892395019531
la26_25_2,1305.0,10.0,1.8445634841918945
la26_25_3,1265.0,10.0,1.9366049766540527
la26_50_1,1283.0,10.0,1.8287756443023682
la26_50_2,1286.0,10.0,1.8752553462982178
la26_50_3,1286.0,10.0,1.8743245601654053
la26_75_1,1357.0,10.0,1.8122162818908691
la26_75_2,1310.0,10.0,1.8597474098205566
la26_75_3,1337.0,10.0,1.9223861694335938
la31_100_1,1801.0,10.0,3.139209270477295
la31_100_2,1790.0,10.0,3.208418369293213
la31_100_3,1779.0,10.0,3.1874501705169678
la31_25_1,1786.0,10.0,3.141136407852173
la31_25_2,1856.0,10.0,3.2343108654022217
la31_25_3,1789.0,10.0,3.1513943672180176
la31_50_1,1788.0,10.0,3.135057210922241
la31_50_2,1801.0,10.0,3.1647815704345703
la31_50_3,1806.0,10.0,3.124964714050293
la31_75_1,1826.0,10.0,3.1246447563171387
la31_75_2,1796.0,10.0,3.1568660736083984
la31_75_3,1793.0,10.0,3.093247175216675
ta21_100_1,1827.0,10.0,3.813013792037964
ta21_100_2,1960.0,10.0,3.8310153484344482
ta21_100_3,1892.0,10.0,3.8151285648345947
ta21_25_1,1830.0,10.0,3.9215126037597656
ta21_25_2,1937.0,10.0,3.921724319458008
ta21_25_3,1877.0,10.0,3.82879900932312
ta21_50_1,1885.0,10.0,3.749373197555542
ta21_50_2,1887.0,10.0,3.8021397590637207
ta21_50_3,1998.0,10.0,3.8821561336517334
ta21_75_1,1882.0,10.0,3.827840566635132
ta21_75_2,2001.0,10.0,3.863879680633545
ta21_75_3,1975.0,10.0,3.8571295738220215
ta41_100_1,2488.0,10.0,6.4174485206604
ta41_100_2,2447.0,10.0,6.732316493988037
ta41_100_3,2551.0,10.0,6.7500224113464355
ta41_25_1,2478.0,10.0,6.493032693862915
ta41_25_2,2457.0,10.0,6.625364303588867
ta41_25_3,2508.0,10.0,6.656381368637085
ta41_50_1,2514.0,10.0,6.694779634475708
ta41_50_2,2503.0,10.0,6.539182424545288
ta41_50_3,2502.0,10.0,6.641299724578857
ta41_75_1,2420.0,10.0,6.62453293800354
ta41_75_2,2434.0,10.0,6.578636169433594
ta41_75_3,2506.0,10.0,6.546888589859009
