,rescheduling-gauss-time-trained,converged_iterations,total_time
ft10_100_1,1053.0,10.0,0.8588271141052246
ft10_100_2,1097.0,10.0,0.8129980564117432
ft10_100_3,1058.0,10.0,0.828216552734375
ft10_25_1,986.0,10.0,0.7886416912078857
ft10_25_2,994.0,10.0,0.780773401260376
ft10_25_3,1024.0,10.0,0.7814831733703613
ft10_50_1,1075.0,10.0,0.7809703350067139
ft10_50_2,1028.0,10.0,0.8046610355377197
ft10_50_3,989.0,10.0,0.8009088039398193
ft10_75_1,991.0,10.0,0.7738628387451172
ft10_75_2,980.0,10.0,0.7630372047424316
ft10_75_3,1001.0,10.0,0.7736637592315674
la26_100_1,1297.0,10.0,1.8365483283996582
la26_100_2,1293.0,10.0,1.9054601192474365
la26_100_3,1296.0,10.0,1.844355583190918
la26_25_1,1288.0,10.0,1.935685396194458
la26_25_2,1292.0,10.0,1.8650681972503662
la26_25_3,1265.0,10.0,1.8749964237213135
la26_50_1,1273.0,10.0,1.921449899673462
la26_50_2,1280.0,10.0,1.843698263168335
la26_50_3,1286.0,10.0,1.8807969093322754
la26_75_1,1299.0,10.0,1.9497804641723633
la26_75_2,1308.0,10.0,1.812960147857666
la26_75_3,1316.0,10.0,1.9367914199829102
la31_100_1,1788.0,10.0,3.110116958618164
la31_100_2,1790.0,10.0,3.2402865886688232
la31_100_3,1777.0,10.0,3.1411356925964355
la31_25_1,1786.0,10.0,3.2199771404266357
la31_25_2,1841.0,10.0,3.172635078430176
la31_25_3,1789.0,10.0,3.1405234336853027
la31_50_1,1787.0,10.0,3.249952793121338
la31_50_2,1858.0,10.0,3.1407980918884277
la31_50_3,1792.0,10.0,3.1872382164001465
la31_75_1,1789.0,10.0,3.1406102180480957
la31_75_2,1797.0,10.0,3.2190001010894775
la31_75_3,1794.0,10.0,3.228343963623047
ta21_100_1,1827.0,10.0,3.8686492443084717
ta21_100_2,1997.0,10.0,3.8202521800994873
ta21_100_3,1894.0,10.0,3.8425471782684326
ta21_25_1,1830.0,10.0,3.906618118286133
ta21_25_2,1957.0,10.0,3.891727924346924
ta21_25_3,1938.0,10.0,3.87825345993042
ta21_50_1,1853.0,10.0,3.8591725826263428
ta21_50_2,1884.0,10.0,3.8980255126953125
ta21_50_3,1900.0,10.0,3.906393051147461
ta21_75_1,1949.0,10.0,3.865356922149658
ta21_75_2,1965.0,10.0,3.8740122318267822
ta21_75_3,1988.0,10.0,3.9157650470733643
ta41_100_1,2477.0,10.0,6.415410280227661
ta41_100_2,2497.0,10.0,6.539933919906616
ta41_100_3,2473.0,10.0,6.5155348777771
ta41_25_1,2511.0,10.0,6.474258661270142
ta41_25_2,2459.0,10.0,6.548936367034912
ta41_25_3,2451.0,10.0,6.552950620651245
ta41_50_1,2532.0,10.0,6.68697190284729
ta41_50_2,2529.0,10.0,6.421993970870972
ta41_50_3,2533.0,10.0,6.360080003738403
ta41_75_1,2458.0,10.0,6.515557050704956
ta41_75_2,2505.0,10.0,6.539498329162598
ta41_75_3,2487.0,10.0,6.4691267013549805
