,rescheduling-gauss-time-trained,converged_iterations,total_time
ft10_100_1,1058.0,10.0,0.8590116500854492
ft10_100_2,1051.0,10.0,0.8279032707214355
ft10_100_3,1058.0,10.0,0.8125746250152588
ft10_25_1,986.0,10.0,0.7809023857116699
ft10_25_2,994.0,10.0,0.7504405975341797
ft10_25_3,1072.0,10.0,0.7968332767486572
ft10_50_1,1110.0,10.0,0.7967922687530518
ft10_50_2,1031.0,10.0,0.793926477432251
ft10_50_3,989.0,10.0,0.8129360675811768
ft10_75_1,991.0,10.0,0.8540706634521484
ft10_75_2,980.0,10.0,0.8055777549743652
ft10_75_3,1001.0,10.0,0.8376445770263672
la26_100_1,1297.0,10.0,2.0704615116119385
la26_100_2,1292.0,10.0,1.9593708515167236
la26_100_3,1296.0,10.0,1.8130319118499756
la26_25_1,1273.0,10.0,2.0310311317443848
la26_25_2,1308.0,10.0,1.9993107318878174
la26_25_3,1265.0,10.0,1.837172269821167
la26_50_1,1272.0,10.0,1.9893996715545654
la26_50_2,1275.0,10.0,1.8754463195800781
la26_50_3,1286.0,10.0,1.9136064052581787
la26_75_1,1312.0,10.0,2.0313899517059326
la26_75_2,1324.0,10.0,1.9908654689788818
la26_75_3,1350.0,10.0,1.8434810638427734
la31_100_1,1788.0,10.0,3.740657329559326
la31_100_2,1803.0,10.0,3.5778067111968994
la31_100_3,1796.0,10.0,3.1214730739593506
la31_25_1,1786.0,10.0,3.5208849906921387
la31_25_2,1831.0,10.0,3.2971832752227783
la31_25_3,1789.0,10.0,3.265636920928955
la31_50_1,1787.0,10.0,3.3434269428253174
la31_50_2,1805.0,10.0,3.158978223800659
la31_50_3,1782.0,10.0,3.347111225128174
la31_75_1,1789.0,10.0,3.3429434299468994
la31_75_2,1804.0,10.0,3.2318437099456787
la31_75_3,1810.0,10.0,3.3439950942993164
ta21_100_1,1827.0,10.0,3.937185525894165
ta21_100_2,1989.0,10.0,4.156007289886475
ta21_100_3,1928.0,10.0,4.197059392929077
ta21_25_1,1830.0,10.0,4.789185047149658
ta21_25_2,1928.0,10.0,3.8592612743377686
ta21_25_3,1927.0,10.0,3.843036413192749
ta21_50_1,1884.0,10.0,3.9579546451568604
ta21_50_2,1890.0,10.0,3.8433988094329834
ta21_50_3,2011.0,10.0,3.906468391418457
ta21_75_1,1882.0,10.0,3.875728130340576
ta21_75_2,1974.0,10.0,3.9059295654296875
ta21_75_3,1999.0,10.0,3.9214773178100586
ta41_100_1,2547.0,10.0,6.499892473220825
ta41_100_2,2499.0,10.0,6.391223907470703
ta41_100_3,2536.0,10.0,6.517604827880859
ta41_25_1,2485.0,10.0,6.6019287109375
ta41_25_2,2429.0,10.0,6.459217309951782
ta41_25_3,2543.0,10.0,6.593914031982422
ta41_50_1,2486.0,10.0,6.624419689178467
ta41_50_2,2534.0,10.0,6.52520751953125
ta41_50_3,2465.0,10.0,6.561433792114258
ta41_75_1,2465.0,10.0,6.437370777130127
ta41_75_2,2351.0,10.0,6.547155141830444
ta41_75_3,2476.0,10.0,6.4365222454071045
